# UCA Version: 3.1.1d6/3.2.0
# Generated:   2002-07-02,18:49:23 GMT [MD]
0009 0021;	0009
092A 0021;	092A
092A 0061;	092A
092A 0041;	092A
092A 00E1;	092A
092A 0062;	092A
092B 0021;	092B
092B 0334 093C;	092B 0334
092B 093C 0334;	092B 093C
095E 0334;	095E
095E 0021;	095E
092B 0061;	092B
092B 0041;	092B
092B 00E1;	092B
095E 0061;	095E
095E 0041;	095E
095E 00E1;	095E
092B 0062;	092B
095E 0062;	095E
092C 0021;	092C
092C 0061;	092C
092C 0041;	092C
092C 00E1;	092C
092C 0062;	092C
092D 0021;	092D
092D 0061;	092D
092D 0041;	092D
092D 00E1;	092D
092D 0062;	092D
092E 0021;	092E
092E 0061;	092E
092E 0041;	092E
092E 00E1;	092E
092E 0062;	092E
092F 0021;	092F
092F 0334 093C;	092F 0334
092F 093C 0334;	092F 093C
095F 0334;	095F
095F 0021;	095F
092F 0061;	092F
092F 0041;	092F
092F 00E1;	092F
095F 0061;	095F
095F 0041;	095F
095F 00E1;	095F
092F 0062;	092F
095F 0062;	095F
0930 0021;	0930
0930 0334 093C;	0930 0334
0930 093C 0334;	0930 093C
0931 0334;	0931
0931 0021;	0931
0930 0061;	0930
0930 0041;	0930
0930 00E1;	0930
0931 0061;	0931
0931 0041;	0931
0931 00E1;	0931
0930 0062;	0930
0931 0062;	0931
0932 0021;	0932
0932 0061;	0932
0932 0041;	0932
0932 00E1;	0932
0932 0062;	0932
0933 0021;	0933
0933 0334 093C;	0933 0334
0933 093C 0334;	0933 093C
0934 0334;	0934
0934 0021;	0934
0933 0061;	0933
0933 0041;	0933
0933 00E1;	0933
0934 0061;	0934
0934 0041;	0934
0934 00E1;	0934
0933 0062;	0933
0934 0062;	0934
0935 0021;	0935
0935 0061;	0935
0935 0041;	0935
0935 00E1;	0935
0935 0062;	0935
0936 0021;	0936
0936 0061;	0936
0936 0041;	0936
0936 00E1;	0936
0936 0062;	0936
0937 0021;	0937
0937 0061;	0937
0937 0041;	0937
0937 00E1;	0937
0937 0062;	0937
0938 0021;	0938
0938 0061;	0938
0938 0041;	0938
0938 00E1;	0938
0938 0062;	0938
0939 0021;	0939
0939 0061;	0939
0939 0041;	0939
0939 00E1;	0939
0939 0062;	0939
093D 0021;	093D
093D 0061;	093D
093D 0041;	093D
093D 00E1;	093D
093D 0062;	093D
093E 0021;	093E
093E 0061;	093E
093E 0041;	093E
093E 00E1;	093E
093E 0062;	093E
093F 0021;	093F
093F 0061;	093F
093F 0041;	093F
093F 00E1;	093F
093F 0062;	093F
0940 0021;	0940
0940 0061;	0940
0940 0041;	0940
0940 00E1;	0940
0940 0062;	0940
0941 0021;	0941
0941 0061;	0941
0941 0041;	0941
0941 00E1;	0941
0941 0062;	0941
0942 0021;	0942
0942 0061;	0942
0942 0041;	0942
0942 00E1;	0942
0942 0062;	0942
0943 0021;	0943
0943 0061;	0943
0943 0041;	0943
0943 00E1;	0943
0943 0062;	0943
0944 0021;	0944
0944 0061;	0944
0944 0041;	0944
0944 00E1;	0944
0944 0062;	0944
0962 0021;	0962
0962 0061;	0962
0962 0041;	0962
0962 00E1;	0962
0962 0062;	0962
0963 0021;	0963
0963 0061;	0963
0963 0041;	0963
0963 00E1;	0963
0963 0062;	0963
0945 0021;	0945
0945 0061;	0945
0945 0041;	0945
0945 00E1;	0945
0945 0062;	0945
0946 0021;	0946
0946 0061;	0946
0946 0041;	0946
0946 00E1;	0946
0946 0062;	0946
0947 0021;	0947
0947 0061;	0947
0947 0041;	0947
0947 00E1;	0947
0947 0062;	0947
0948 0021;	0948
0948 0061;	0948
0948 0041;	0948
0948 00E1;	0948
0948 0062;	0948
0949 0021;	0949
0949 0061;	0949
0949 0041;	0949
0949 00E1;	0949
0949 0062;	0949
094A 0021;	094A
094A 0061;	094A
094A 0041;	094A
094A 00E1;	094A
094A 0062;	094A
094B 0021;	094B
094B 0061;	094B
094B 0041;	094B
094B 00E1;	094B
094B 0062;	094B
094C 0021;	094C
094C 0061;	094C
094C 0041;	094C
094C 00E1;	094C
094C 0062;	094C
094D 0021;	094D
0334 094D;	094D
094D 0334;	094D
094D 0061;	094D
094D 0041;	094D
094D 00E1;	094D
094D 0062;	094D
0985 0021;	0985
0985 0061;	0985
0985 0041;	0985
0985 00E1;	0985
0985 0062;	0985
0986 0021;	0986
0986 0061;	0986
0986 0041;	0986
0986 00E1;	0986
0986 0062;	0986
0987 0021;	0987
0987 0061;	0987
0987 0041;	0987
0987 00E1;	0987
0987 0062;	0987
0988 0021;	0988
0988 0061;	0988
0988 0041;	0988
0988 00E1;	0988
0988 0062;	0988
0989 0021;	0989
0989 0061;	0989
0989 0041;	0989
0989 00E1;	0989
0989 0062;	0989
098A 0021;	098A
098A 0061;	098A
098A 0041;	098A
098A 00E1;	098A
098A 0062;	098A
098B 0021;	098B
098B 0061;	098B
098B 0041;	098B
098B 00E1;	098B
098B 0062;	098B
09E0 0021;	09E0
09E0 0061;	09E0
09E0 0041;	09E0
09E0 00E1;	09E0
09E0 0062;	09E0
098C 0021;	098C
098C 0061;	098C
098C 0041;	098C
098C 00E1;	098C
098C 0062;	098C
09E1 0021;	09E1
09E1 0061;	09E1
09E1 0041;	09E1
09E1 00E1;	09E1
09E1 0062;	09E1
098F 0021;	098F
098F 0061;	098F
098F 0041;	098F
098F 00E1;	098F
098F 0062;	098F
0990 0021;	0990
0990 0061;	0990
0990 0041;	0990
0990 00E1;	0990
0990 0062;	0990
0993 0021;	0993
0993 0061;	0993
0993 0041;	0993
0993 00E1;	0993
0993 0062;	0993
0994 0021;	0994
0994 0061;	0994
0994 0041;	0994
0994 00E1;	0994
0994 0062;	0994
0995 0021;	0995
0995 0061;	0995
0995 0041;	0995
0995 00E1;	0995
0995 0062;	0995
0996 0021;	0996
0996 0061;	0996
0996 0041;	0996
0996 00E1;	0996
0996 0062;	0996
0997 0021;	0997
0997 0061;	0997
0997 0041;	0997
0997 00E1;	0997
0997 0062;	0997
0998 0021;	0998
0998 0061;	0998
0998 0041;	0998
0998 00E1;	0998
0998 0062;	0998
0999 0021;	0999
0999 0061;	0999
0999 0041;	0999
0999 00E1;	0999
0999 0062;	0999
099A 0021;	099A
099A 0061;	099A
099A 0041;	099A
099A 00E1;	099A
099A 0062;	099A
099B 0021;	099B
099B 0061;	099B
099B 0041;	099B
099B 00E1;	099B
099B 0062;	099B
099C 0021;	099C
099C 0061;	099C
099C 0041;	099C
099C 00E1;	099C
099C 0062;	099C
099D 0021;	099D
099D 0061;	099D
099D 0041;	099D
099D 00E1;	099D
099D 0062;	099D
099E 0021;	099E
099E 0061;	099E
099E 0041;	099E
099E 00E1;	099E
099E 0062;	099E
099F 0021;	099F
099F 0061;	099F
099F 0041;	099F
099F 00E1;	099F
099F 0062;	099F
09A0 0021;	09A0
09A0 0061;	09A0
09A0 0041;	09A0
09A0 00E1;	09A0
09A0 0062;	09A0
09A1 0021;	09A1
09A1 0334 09BC;	09A1 0334
09A1 09BC 0334;	09A1 09BC
09DC 0334;	09DC
09DC 0021;	09DC
09A1 0061;	09A1
09A1 0041;	09A1
09A1 00E1;	09A1
09DC 0061;	09DC
09DC 0041;	09DC
09DC 00E1;	09DC
09A1 0062;	09A1
09DC 0062;	09DC
09A2 0021;	09A2
09A2 0334 09BC;	09A2 0334
09A2 09BC 0334;	09A2 09BC
09DD 0334;	09DD
09DD 0021;	09DD
09A2 0061;	09A2
09A2 0041;	09A2
09A2 00E1;	09A2
09DD 0061;	09DD
09DD 0041;	09DD
09DD 00E1;	09DD
09A2 0062;	09A2
09DD 0062;	09DD
09A3 0021;	09A3
09A3 0061;	09A3
09A3 0041;	09A3
09A3 00E1;	09A3
09A3 0062;	09A3
09A4 0021;	09A4
09A4 0061;	09A4
09A4 0041;	09A4
09A4 00E1;	09A4
09A4 0062;	09A4
09A5 0021;	09A5
09A5 0061;	09A5
09A5 0041;	09A5
09A5 00E1;	09A5
09A5 0062;	09A5
09A6 0021;	09A6
09A6 0061;	09A6
09A6 0041;	09A6
09A6 00E1;	09A6
09A6 0062;	09A6
09A7 0021;	09A7
09A7 0061;	09A7
09A7 0041;	09A7
09A7 00E1;	09A7
09A7 0062;	09A7
09A8 0021;	09A8
09A8 0061;	09A8
09A8 0041;	09A8
09A8 00E1;	09A8
09A8 0062;	09A8
09AA 0021;	09AA
09AA 0061;	09AA
09AA 0041;	09AA
09AA 00E1;	09AA
09AA 0062;	09AA
09AB 0021;	09AB
09AB 0061;	09AB
09AB 0041;	09AB
09AB 00E1;	09AB
09AB 0062;	09AB
09AC 0021;	09AC
09AC 0061;	09AC
09AC 0041;	09AC
09AC 00E1;	09AC
09AC 0062;	09AC
09AD 0021;	09AD
09AD 0061;	09AD
09AD 0041;	09AD
09AD 00E1;	09AD
09AD 0062;	09AD
09AE 0021;	09AE
09AE 0061;	09AE
09AE 0041;	09AE
09AE 00E1;	09AE
09AE 0062;	09AE
09AF 0021;	09AF
09AF 0334 09BC;	09AF 0334
09AF 09BC 0334;	09AF 09BC
09DF 0334;	09DF
09DF 0021;	09DF
09AF 0061;	09AF
09AF 0041;	09AF
09AF 00E1;	09AF
09DF 0061;	09DF
09DF 0041;	09DF
09DF 00E1;	09DF
09AF 0062;	09AF
09DF 0062;	09DF
09B0 0021;	09B0
09B0 0061;	09B0
09B0 0041;	09B0
09B0 00E1;	09B0
09B0 0062;	09B0
09F0 0021;	09F0
09F0 0061;	09F0
09F0 0041;	09F0
09F0 00E1;	09F0
09F0 0062;	09F0
09B2 0021;	09B2
09B2 0061;	09B2
09B2 0041;	09B2
09B2 00E1;	09B2
09B2 0062;	09B2
09F1 0021;	09F1
09F1 0061;	09F1
09F1 0041;	09F1
09F1 00E1;	09F1
09F1 0062;	09F1
09B6 0021;	09B6
09B6 0061;	09B6
09B6 0041;	09B6
09B6 00E1;	09B6
09B6 0062;	09B6
09B7 0021;	09B7
09B7 0061;	09B7
09B7 0041;	09B7
09B7 00E1;	09B7
09B7 0062;	09B7
09B8 0021;	09B8
09B8 0061;	09B8
09B8 0041;	09B8
09B8 00E1;	09B8
09B8 0062;	09B8
09B9 0021;	09B9
09B9 0061;	09B9
09B9 0041;	09B9
09B9 00E1;	09B9
09B9 0062;	09B9
09BE 0021;	09BE
09BE 0061;	09BE
09BE 0041;	09BE
09BE 00E1;	09BE
09BE 0062;	09BE
09BF 0021;	09BF
09BF 0061;	09BF
09BF 0041;	09BF
09BF 00E1;	09BF
09BF 0062;	09BF
09C0 0021;	09C0
09C0 0061;	09C0
09C0 0041;	09C0
09C0 00E1;	09C0
09C0 0062;	09C0
09C1 0021;	09C1
09C1 0061;	09C1
09C1 0041;	09C1
09C1 00E1;	09C1
09C1 0062;	09C1
09C2 0021;	09C2
09C2 0061;	09C2
09C2 0041;	09C2
09C2 00E1;	09C2
09C2 0062;	09C2
09C3 0021;	09C3
09C3 0061;	09C3
09C3 0041;	09C3
09C3 00E1;	09C3
09C3 0062;	09C3
09C4 0021;	09C4
09C4 0061;	09C4
09C4 0041;	09C4
09C4 00E1;	09C4
09C4 0062;	09C4
09E2 0021;	09E2
09E2 0061;	09E2
09E2 0041;	09E2
09E2 00E1;	09E2
09E2 0062;	09E2
09E3 0021;	09E3
09E3 0061;	09E3
09E3 0041;	09E3
09E3 00E1;	09E3
09E3 0062;	09E3
09C7 0021;	09C7
09C7 0061;	09C7
09C7 0041;	09C7
09C7 00E1;	09C7
09C7 0062;	09C7
09C8 0021;	09C8
09C8 0061;	09C8
09C8 0041;	09C8
09C8 00E1;	09C8
09C8 0062;	09C8
09C7 09BE 0021;	09C7 09BE
09CB 0021;	09CB
09C7 0001 09BE 0061;	09C7 0001 09BE
09C7 0591 09BE 0061;	09C7 0591 09BE
09C7 09BE 0061;	09C7 09BE
09C7 1D165 09BE 0061;	09C7 1D165 09BE
09CB 0061;	09CB
09C7 09BE 0041;	09C7 09BE
09CB 0041;	09CB
09C7 09BE 00E1;	09C7 09BE
09CB 00E1;	09CB
09C7 09BE 0062;	09C7 09BE
09CB 0062;	09CB
09C7 09D7 0021;	09C7 09D7
09CC 0021;	09CC
09C7 0001 09D7 0061;	09C7 0001 09D7
09C7 0591 09D7 0061;	09C7 0591 09D7
09C7 09D7 0061;	09C7 09D7
09C7 1D165 09D7 0061;	09C7 1D165 09D7
09CC 0061;	09CC
09C7 09D7 0041;	09C7 09D7
09CC 0041;	09CC
09C7 09D7 00E1;	09C7 09D7
09CC 00E1;	09CC
09C7 09D7 0062;	09C7 09D7
09CC 0062;	09CC
09CD 0021;	09CD
0334 09CD;	09CD
09CD 0334;	09CD
09CD 0061;	09CD
09CD 0041;	09CD
09CD 00E1;	09CD
09CD 0062;	09CD
09D7 0021;	09D7
09D7 0061;	09D7
09D7 0041;	09D7
09D7 00E1;	09D7
09D7 0062;	09D7
0A74 0021;	0A74
0A74 0061;	0A74
0A74 0041;	0A74
0A74 00E1;	0A74
0A74 0062;	0A74
0A73 0021;	0A73
0A73 0061;	0A73
0A73 0041;	0A73
0A73 00E1;	0A73
0A73 0062;	0A73
0A09 0021;	0A09
0A09 0061;	0A09
0A09 0041;	0A09
0A09 00E1;	0A09
0A09 0062;	0A09
0A0A 0021;	0A0A
0A0A 0061;	0A0A
0A0A 0041;	0A0A
0A0A 00E1;	0A0A
0A0A 0062;	0A0A
0A13 0021;	0A13
0A13 0061;	0A13
0A13 0041;	0A13
0A13 00E1;	0A13
0A13 0062;	0A13
0A05 0021;	0A05
0A05 0061;	0A05
0A05 0041;	0A05
0A05 00E1;	0A05
0A05 0062;	0A05
0A06 0021;	0A06
0A06 0061;	0A06
0A06 0041;	0A06
0A06 00E1;	0A06
0A06 0062;	0A06
0A10 0021;	0A10
0A10 0061;	0A10
0A10 0041;	0A10
0A10 00E1;	0A10
0A10 0062;	0A10
0A14 0021;	0A14
0A14 0061;	0A14
0A14 0041;	0A14
0A14 00E1;	0A14
0A14 0062;	0A14
0A72 0021;	0A72
0A72 0061;	0A72
0A72 0041;	0A72
0A72 00E1;	0A72
0A72 0062;	0A72
0A07 0021;	0A07
0A07 0061;	0A07
0A07 0041;	0A07
0A07 00E1;	0A07
0A07 0062;	0A07
0A08 0021;	0A08
0A08 0061;	0A08
0A08 0041;	0A08
0A08 00E1;	0A08
0A08 0062;	0A08
0A0F 0021;	0A0F
0A0F 0061;	0A0F
0A0F 0041;	0A0F
0A0F 00E1;	0A0F
0A0F 0062;	0A0F
0A38 0021;	0A38
0A36 0334;	0A36
0A38 0334 0A3C;	0A38 0334
0A38 0A3C 0334;	0A38 0A3C
0A36 0021;	0A36
0A38 0061;	0A38
0A38 0041;	0A38
0A38 00E1;	0A38
0A36 0061;	0A36
0A36 0041;	0A36
0A36 00E1;	0A36
0A38 0062;	0A38
0A36 0062;	0A36
0A39 0021;	0A39
0A39 0061;	0A39
0A39 0041;	0A39
0A39 00E1;	0A39
0A39 0062;	0A39
0A15 0021;	0A15
0A15 0061;	0A15
0A15 0041;	0A15
0A15 00E1;	0A15
0A15 0062;	0A15
0A16 0021;	0A16
0A16 0334 0A3C;	0A16 0334
0A16 0A3C 0334;	0A16 0A3C
0A59 0334;	0A59
0A59 0021;	0A59
0A16 0061;	0A16
0A16 0041;	0A16
0A16 00E1;	0A16
0A59 0061;	0A59
0A59 0041;	0A59
0A59 00E1;	0A59
0A16 0062;	0A16
0A59 0062;	0A59
0A17 0021;	0A17
0A17 0334 0A3C;	0A17 0334
0A17 0A3C 0334;	0A17 0A3C
0A5A 0334;	0A5A
0A5A 0021;	0A5A
0A17 0061;	0A17
0A17 0041;	0A17
0A17 00E1;	0A17
0A5A 0061;	0A5A
0A5A 0041;	0A5A
0A5A 00E1;	0A5A
0A17 0062;	0A17
0A5A 0062;	0A5A
0A18 0021;	0A18
0A18 0061;	0A18
0A18 0041;	0A18
0A18 00E1;	0A18
0A18 0062;	0A18
0A19 0021;	0A19
0A19 0061;	0A19
0A19 0041;	0A19
0A19 00E1;	0A19
0A19 0062;	0A19
0A1A 0021;	0A1A
0A1A 0061;	0A1A
0A1A 0041;	0A1A
0A1A 00E1;	0A1A
0A1A 0062;	0A1A
0A1B 0021;	0A1B
0A1B 0061;	0A1B
0A1B 0041;	0A1B
0A1B 00E1;	0A1B
0A1B 0062;	0A1B
0A1C 0021;	0A1C
0A1C 0334 0A3C;	0A1C 0334
0A1C 0A3C 0334;	0A1C 0A3C
0A5B 0334;	0A5B
0A5B 0021;	0A5B
0A1C 0061;	0A1C
0A1C 0041;	0A1C
0A1C 00E1;	0A1C
0A5B 0061;	0A5B
0A5B 0041;	0A5B
0A5B 00E1;	0A5B
0A1C 0062;	0A1C
0A5B 0062;	0A5B
0A1D 0021;	0A1D
0A1D 0061;	0A1D
0A1D 0041;	0A1D
0A1D 00E1;	0A1D
0A1D 0062;	0A1D
0A1E 0021;	0A1E
0A1E 0061;	0A1E
0A1E 0041;	0A1E
0A1E 00E1;	0A1E
0A1E 0062;	0A1E
0A1F 0021;	0A1F
0A1F 0061;	0A1F
0A1F 0041;	0A1F
0A1F 00E1;	0A1F
0A1F 0062;	0A1F
0A20 0021;	0A20
0A20 0061;	0A20
0A20 0041;	0A20
0A20 00E1;	0A20
0A20 0062;	0A20
0A21 0021;	0A21
0A21 0061;	0A21
0A21 0041;	0A21
0A21 00E1;	0A21
0A21 0062;	0A21
0A22 0021;	0A22
0A22 0061;	0A22
0A22 0041;	0A22
0A22 00E1;	0A22
0A22 0062;	0A22
0A23 0021;	0A23
0A23 0061;	0A23
0A23 0041;	0A23
0A23 00E1;	0A23
0A23 0062;	0A23
0A24 0021;	0A24
0A24 0061;	0A24
0A24 0041;	0A24
0A24 00E1;	0A24
0A24 0062;	0A24
0A25 0021;	0A25
0A25 0061;	0A25
0A25 0041;	0A25
0A25 00E1;	0A25
0A25 0062;	0A25
0A26 0021;	0A26
0A26 0061;	0A26
0A26 0041;	0A26
0A26 00E1;	0A26
0A26 0062;	0A26
0A27 0021;	0A27
0A27 0061;	0A27
0A27 0041;	0A27
0A27 00E1;	0A27
0A27 0062;	0A27
0A28 0021;	0A28
0A28 0061;	0A28
0A28 0041;	0A28
0A28 00E1;	0A28
0A28 0062;	0A28
0A2A 0021;	0A2A
0A2A 0061;	0A2A
0A2A 0041;	0A2A
0A2A 00E1;	0A2A
0A2A 0062;	0A2A
0A2B 0021;	0A2B
0A2B 0334 0A3C;	0A2B 0334
0A2B 0A3C 0334;	0A2B 0A3C
0A5E 0334;	0A5E
0A5E 0021;	0A5E
0A2B 0061;	0A2B
0A2B 0041;	0A2B
0A2B 00E1;	0A2B
0A5E 0061;	0A5E
0A5E 0041;	0A5E
0A5E 00E1;	0A5E
0A2B 0062;	0A2B
0A5E 0062;	0A5E
0A2C 0021;	0A2C
0A2C 0061;	0A2C
0A2C 0041;	0A2C
0A2C 00E1;	0A2C
0A2C 0062;	0A2C
0A2D 0021;	0A2D
0A2D 0061;	0A2D
0A2D 0041;	0A2D
0A2D 00E1;	0A2D
0A2D 0062;	0A2D
0A2E 0021;	0A2E
0A2E 0061;	0A2E
0A2E 0041;	0A2E
0A2E 00E1;	0A2E
0A2E 0062;	0A2E
0A2F 0021;	0A2F
0A2F 0061;	0A2F
0A2F 0041;	0A2F
0A2F 00E1;	0A2F
0A2F 0062;	0A2F
0A30 0021;	0A30
0A30 0061;	0A30
0A30 0041;	0A30
0A30 00E1;	0A30
0A30 0062;	0A30
0A32 0021;	0A32
0A32 0334 0A3C;	0A32 0334
0A32 0A3C 0334;	0A32 0A3C
0A33 0334;	0A33
0A33 0021;	0A33
0A32 0061;	0A32
0A32 0041;	0A32
0A32 00E1;	0A32
0A33 0061;	0A33
0A33 0041;	0A33
0A33 00E1;	0A33
0A32 0062;	0A32
0A33 0062;	0A33
0A35 0021;	0A35
0A35 0061;	0A35
0A35 0041;	0A35
0A35 00E1;	0A35
0A35 0062;	0A35
0A5C 0021;	0A5C
0A5C 0061;	0A5C
0A5C 0041;	0A5C
0A5C 00E1;	0A5C
0A5C 0062;	0A5C
0A3E 0021;	0A3E
0A3E 0061;	0A3E
0A3E 0041;	0A3E
0A3E 00E1;	0A3E
0A3E 0062;	0A3E
0A3F 0021;	0A3F
0A3F 0061;	0A3F
0A3F 0041;	0A3F
0A3F 00E1;	0A3F
0A3F 0062;	0A3F
0A40 0021;	0A40
0A40 0061;	0A40
0A40 0041;	0A40
0A40 00E1;	0A40
0A40 0062;	0A40
0A41 0021;	0A41
0A41 0061;	0A41
0A41 0041;	0A41
0A41 00E1;	0A41
0A41 0062;	0A41
0A42 0021;	0A42
0A42 0061;	0A42
0A42 0041;	0A42
0A42 00E1;	0A42
0A42 0062;	0A42
0A47 0021;	0A47
0A47 0061;	0A47
0A47 0041;	0A47
0A47 00E1;	0A47
0A47 0062;	0A47
0A48 0021;	0A48
0A48 0061;	0A48
0A48 0041;	0A48
0A48 00E1;	0A48
0A48 0062;	0A48
0A4B 0021;	0A4B
0A4B 0061;	0A4B
0A4B 0041;	0A4B
0A4B 00E1;	0A4B
0A4B 0062;	0A4B
0A4C 0021;	0A4C
0A4C 0061;	0A4C
0A4C 0041;	0A4C
0A4C 00E1;	0A4C
0A4C 0062;	0A4C
0A4D 0021;	0A4D
0334 0A4D;	0A4D
0A4D 0334;	0A4D
0A4D 0061;	0A4D
0A4D 0041;	0A4D
0A4D 00E1;	0A4D
0A4D 0062;	0A4D
0AD0 0021;	0AD0
0AD0 0061;	0AD0
0AD0 0041;	0AD0
0AD0 00E1;	0AD0
0AD0 0062;	0AD0
0A85 0021;	0A85
0A85 0061;	0A85
0A85 0041;	0A85
0A85 00E1;	0A85
0A85 0062;	0A85
0A86 0021;	0A86
0A86 0061;	0A86
0A86 0041;	0A86
0A86 00E1;	0A86
0A86 0062;	0A86
0A87 0021;	0A87
0A87 0061;	0A87
0A87 0041;	0A87
0A87 00E1;	0A87
0A87 0062;	0A87
0A88 0021;	0A88
0A88 0061;	0A88
0A88 0041;	0A88
0A88 00E1;	0A88
0A88 0062;	0A88
0A89 0021;	0A89
0A89 0061;	0A89
0A89 0041;	0A89
0A89 00E1;	0A89
0A89 0062;	0A89
0A8A 0021;	0A8A
0A8A 0061;	0A8A
0A8A 0041;	0A8A
0A8A 00E1;	0A8A
0A8A 0062;	0A8A
0A8B 0021;	0A8B
0A8B 0061;	0A8B
0A8B 0041;	0A8B
0A8B 00E1;	0A8B
0A8B 0062;	0A8B
0AE0 0021;	0AE0
0AE0 0061;	0AE0
0AE0 0041;	0AE0
0AE0 00E1;	0AE0
0AE0 0062;	0AE0
0A8D 0021;	0A8D
0A8D 0061;	0A8D
0A8D 0041;	0A8D
0A8D 00E1;	0A8D
0A8D 0062;	0A8D
0A8F 0021;	0A8F
0A8F 0061;	0A8F
0A8F 0041;	0A8F
0A8F 00E1;	0A8F
0A8F 0062;	0A8F
0A90 0021;	0A90
0A90 0061;	0A90
0A90 0041;	0A90
0A90 00E1;	0A90
0A90 0062;	0A90
0A91 0021;	0A91
0A91 0061;	0A91
0A91 0041;	0A91
0A91 00E1;	0A91
0A91 0062;	0A91
0A93 0021;	0A93
0A93 0061;	0A93
0A93 0041;	0A93
0A93 00E1;	0A93
0A93 0062;	0A93
0A94 0021;	0A94
0A94 0061;	0A94
0A94 0041;	0A94
0A94 00E1;	0A94
0A94 0062;	0A94
0A95 0021;	0A95
0A95 0061;	0A95
0A95 0041;	0A95
0A95 00E1;	0A95
0A95 0062;	0A95
0A96 0021;	0A96
0A96 0061;	0A96
0A96 0041;	0A96
0A96 00E1;	0A96
0A96 0062;	0A96
0A97 0021;	0A97
0A97 0061;	0A97
0A97 0041;	0A97
0A97 00E1;	0A97
0A97 0062;	0A97
0A98 0021;	0A98
0A98 0061;	0A98
0A98 0041;	0A98
0A98 00E1;	0A98
0A98 0062;	0A98
0A99 0021;	0A99
0A99 0061;	0A99
0A99 0041;	0A99
0A99 00E1;	0A99
0A99 0062;	0A99
0A9A 0021;	0A9A
0A9A 0061;	0A9A
0A9A 0041;	0A9A
0A9A 00E1;	0A9A
0A9A 0062;	0A9A
0A9B 0021;	0A9B
0A9B 0061;	0A9B
0A9B 0041;	0A9B
0A9B 00E1;	0A9B
0A9B 0062;	0A9B
0A9C 0021;	0A9C
0A9C 0061;	0A9C
0A9C 0041;	0A9C
0A9C 00E1;	0A9C
0A9C 0062;	0A9C
0A9D 0021;	0A9D
0A9D 0061;	0A9D
0A9D 0041;	0A9D
0A9D 00E1;	0A9D
0A9D 0062;	0A9D
0A9E 0021;	0A9E
0A9E 0061;	0A9E
0A9E 0041;	0A9E
0A9E 00E1;	0A9E
0A9E 0062;	0A9E
0A9F 0021;	0A9F
0A9F 0061;	0A9F
0A9F 0041;	0A9F
0A9F 00E1;	0A9F
0A9F 0062;	0A9F
0AA0 0021;	0AA0
0AA0 0061;	0AA0
0AA0 0041;	0AA0
0AA0 00E1;	0AA0
0AA0 0062;	0AA0
0AA1 0021;	0AA1
0AA1 0061;	0AA1
0AA1 0041;	0AA1
0AA1 00E1;	0AA1
0AA1 0062;	0AA1
0AA2 0021;	0AA2
0AA2 0061;	0AA2
0AA2 0041;	0AA2
0AA2 00E1;	0AA2
0AA2 0062;	0AA2
0AA3 0021;	0AA3
0AA3 0061;	0AA3
0AA3 0041;	0AA3
0AA3 00E1;	0AA3
0AA3 0062;	0AA3
0AA4 0021;	0AA4
0AA4 0061;	0AA4
0AA4 0041;	0AA4
0AA4 00E1;	0AA4
0AA4 0062;	0AA4
0AA5 0021;	0AA5
0AA5 0061;	0AA5
0AA5 0041;	0AA5
0AA5 00E1;	0AA5
0AA5 0062;	0AA5
0AA6 0021;	0AA6
0AA6 0061;	0AA6
0AA6 0041;	0AA6
0AA6 00E1;	0AA6
0AA6 0062;	0AA6
0AA7 0021;	0AA7
0AA7 0061;	0AA7
0AA7 0041;	0AA7
0AA7 00E1;	0AA7
0AA7 0062;	0AA7
0AA8 0021;	0AA8
0AA8 0061;	0AA8
0AA8 0041;	0AA8
0AA8 00E1;	0AA8
0AA8 0062;	0AA8
0AAA 0021;	0AAA
0AAA 0061;	0AAA
0AAA 0041;	0AAA
0AAA 00E1;	0AAA
0AAA 0062;	0AAA
0AAB 0021;	0AAB
0AAB 0061;	0AAB
0AAB 0041;	0AAB
0AAB 00E1;	0AAB
0AAB 0062;	0AAB
0AAC 0021;	0AAC
0AAC 0061;	0AAC
0AAC 0041;	0AAC
0AAC 00E1;	0AAC
0AAC 0062;	0AAC
0AAD 0021;	0AAD
0AAD 0061;	0AAD
0AAD 0041;	0AAD
0AAD 00E1;	0AAD
0AAD 0062;	0AAD
0AAE 0021;	0AAE
0AAE 0061;	0AAE
0AAE 0041;	0AAE
0AAE 00E1;	0AAE
0AAE 0062;	0AAE
0AAF 0021;	0AAF
0AAF 0061;	0AAF
0AAF 0041;	0AAF
0AAF 00E1;	0AAF
0AAF 0062;	0AAF
0AB0 0021;	0AB0
0AB0 0061;	0AB0
0AB0 0041;	0AB0
0AB0 00E1;	0AB0
0AB0 0062;	0AB0
0AB2 0021;	0AB2
0AB2 0061;	0AB2
0AB2 0041;	0AB2
0AB2 00E1;	0AB2
0AB2 0062;	0AB2
0AB3 0021;	0AB3
0AB3 0061;	0AB3
0AB3 0041;	0AB3
0AB3 00E1;	0AB3
0AB3 0062;	0AB3
0AB5 0021;	0AB5
0AB5 0061;	0AB5
0AB5 0041;	0AB5
0AB5 00E1;	0AB5
0AB5 0062;	0AB5
0AB6 0021;	0AB6
0AB6 0061;	0AB6
0AB6 0041;	0AB6
0AB6 00E1;	0AB6
0AB6 0062;	0AB6
0AB7 0021;	0AB7
0AB7 0061;	0AB7
0AB7 0041;	0AB7
0AB7 00E1;	0AB7
0AB7 0062;	0AB7
0AB8 0021;	0AB8
