# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
333B          >30DA 30FC 30B8  #  SQUARE PEEZI
333C          >30D9 30FC 30BF  #  SQUARE BEETA
333D          >30DD 30A4 30F3 30C8  #  SQUARE POINTO
333E          >30DC 30EB 30C8  #  SQUARE BORUTO
333F          >30DB 30F3  #  SQUARE HON
3340          >30DD 30F3 30C9  #  SQUARE PONDO
3341          >30DB 30FC 30EB  #  SQUARE HOORU
3342          >30DB 30FC 30F3  #  SQUARE HOON
3343          >30DE 30A4 30AF 30ED  #  SQUARE MAIKURO
3344          >30DE 30A4 30EB  #  SQUARE MAIRU
3345          >30DE 30C3 30CF  #  SQUARE MAHHA
3346          >30DE 30EB 30AF  #  SQUARE MARUKU
3347          >30DE 30F3 30B7 30E7 30F3  #  SQUARE MANSYON
3348          >30DF 30AF 30ED 30F3  #  SQUARE MIKURON
3349          >30DF 30EA  #  SQUARE MIRI
334A          >30DF 30EA 30D0 30FC 30EB  #  SQUARE MIRIBAARU
334B          >30E1 30AC  #  SQUARE MEGA
334C          >30E1 30AC 30C8 30F3  #  SQUARE MEGATON
334D          >30E1 30FC 30C8 30EB  #  SQUARE MEETORU
334E          >30E4 30FC 30C9  #  SQUARE YAADO
334F          >30E4 30FC 30EB  #  SQUARE YAARU
3350          >30E6 30A2 30F3  #  SQUARE YUAN
3351          >30EA 30C3 30C8 30EB  #  SQUARE RITTORU
3352          >30EA 30E9  #  SQUARE RIRA
3353          >30EB 30D4 30FC  #  SQUARE RUPII
3354          >30EB 30FC 30D6 30EB  #  SQUARE RUUBURU
3355          >30EC 30E0  #  SQUARE REMU
3356          >30EC 30F3 30C8 30B2 30F3  #  SQUARE RENTOGEN
3357          >30EF 30C3 30C8  #  SQUARE WATTO
3358          >0030 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO
3359          >0031 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE
335A          >0032 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWO
335B          >0033 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THREE
335C          >0034 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOUR
335D          >0035 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIVE
335E          >0036 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIX
335F          >0037 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVEN
3360          >0038 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHT
3361          >0039 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINE
3362          >0031 0030 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN
3363          >0031 0031 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN
3364          >0031 0032 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE
3365          >0031 0033 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN
3366          >0031 0034 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN
3367          >0031 0035 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
3368          >0031 0036 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
3369          >0031 0037 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
336A          >0031 0038 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
336B          >0031 0039 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
336C          >0032 0030 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
336D          >0032 0031 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
336E          >0032 0032 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
336F          >0032 0033 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
3370          >0032 0034 70B9  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
3371          >0068 0070 0061  #  SQUARE HPA
3372          >0064 0061  #  SQUARE DA
3373          >0061 0075  #  SQUARE AU
3374          >0062 0061 0072  #  SQUARE BAR
3375          >006F 0076  #  SQUARE OV
3376          >0070 0063  #  SQUARE PC
3377          >0064 006D  #  SQUARE DM
3378          >0064 006D 0032  #  SQUARE DM SQUARED
3379          >0064 006D 0033  #  SQUARE DM CUBED
337A          >0069 0075  #  SQUARE IU
337B          >5E73 6210  #  SQUARE ERA NAME HEISEI
337C          >662D 548C  #  SQUARE ERA NAME SYOUWA
337D          >5927 6B63  #  SQUARE ERA NAME TAISYOU
337E          >660E 6CBB  #  SQUARE ERA NAME MEIZI
337F          >682A 5F0F 4F1A 793E  #  SQUARE CORPORATION
3380          >0070 0061  #  SQUARE PA AMPS
3381          >006E 0061  #  SQUARE NA
3382          >03BC 0061  #  SQUARE MU A
3383          >006D 0061  #  SQUARE MA
3384          >006B 0061  #  SQUARE KA
3385          >006B 0062  #  SQUARE KB
3386          >006D 0062  #  SQUARE MB
3387          >0067 0062  #  SQUARE GB
3388          >0063 0061 006C  #  SQUARE CAL
3389          >006B 0063 0061 006C  #  SQUARE KCAL
338A          >0070 0066  #  SQUARE PF
338B          >006E 0066  #  SQUARE NF
338C          >03BC 0066  #  SQUARE MU F
338D          >03BC 0067  #  SQUARE MU G
338E          >006D 0067  #  SQUARE MG
338F          >006B 0067  #  SQUARE KG
3390          >0068 007A  #  SQUARE HZ
3391          >006B 0068 007A  #  SQUARE KHZ
3392          >006D 0068 007A  #  SQUARE MHZ
3393          >0067 0068 007A  #  SQUARE GHZ
3394          >0074 0068 007A  #  SQUARE THZ
3395          >03BC 006C  #  SQUARE MU L
3396          >006D 006C  #  SQUARE ML
3397          >0064 006C  #  SQUARE DL
3398          >006B 006C  #  SQUARE KL
3399          >0066 006D  #  SQUARE FM
339A          >006E 006D  #  SQUARE NM
339B          >03BC 006D  #  SQUARE MU M
339C          >006D 006D  #  SQUARE MM
339D          >0063 006D  #  SQUARE CM
339E          >006B 006D  #  SQUARE KM
339F          >006D 006D 0032  #  SQUARE MM SQUARED
33A0          >0063 006D 0032  #  SQUARE CM SQUARED
33A1          >006D 0032  #  SQUARE M SQUARED
33A2          >006B 006D 0032  #  SQUARE KM SQUARED
33A3          >006D 006D 0033  #  SQUARE MM CUBED
33A4          >0063 006D 0033  #  SQUARE CM CUBED
33A5          >006D 0033  #  SQUARE M CUBED
33A6          >006B 006D 0033  #  SQUARE KM CUBED
33A7          >006D 2215 0073  #  SQUARE M OVER S
33A8          >006D 2215 0073 0032  #  SQUARE M OVER S SQUARED
33A9          >0070 0061  #  SQUARE PA
33AA          >006B 0070 0061  #  SQUARE KPA
33AB          >006D 0070 0061  #  SQUARE MPA
33AC          >0067 0070 0061  #  SQUARE GPA
33AD          >0072 0061 0064  #  SQUARE RAD
33AE          >0072 0061 0064 2215 0073  #  SQUARE RAD OVER S
33AF          >0072 0061 0064 2215 0073 0032 #  SQUARE RAD OVER S SQUARED
33B0          >0070 0073  #  SQUARE PS
33B1          >006E 0073  #  SQUARE NS
33B2          >03BC 0073  #  SQUARE MU S
33B3          >006D 0073  #  SQUARE MS
33B4          >0070 0076  #  SQUARE PV
33B5          >006E 0076  #  SQUARE NV
33B6          >03BC 0076  #  SQUARE MU V
33B7          >006D 0076  #  SQUARE MV
33B8          >006B 0076  #  SQUARE KV
33B9          >006D 0076  #  SQUARE MV MEGA
33BA          >0070 0077  #  SQUARE PW
33BB          >006E 0077  #  SQUARE NW
33BC          >03BC 0077  #  SQUARE MU W
33BD          >006D 0077  #  SQUARE MW
33BE          >006B 0077  #  SQUARE KW
33BF          >006D 0077  #  SQUARE MW MEGA
33C0          >006B 03C9  #  SQUARE K OHM
33C1          >006D 03C9  #  SQUARE M OHM
33C2          >FFFD  #  SQUARE AM
33C3          >0062 0071  #  SQUARE BQ
33C4          >0063 0063  #  SQUARE CC
33C5          >0063 0064  #  SQUARE CD
33C6          >0063 2215 006B 0067  #  SQUARE C OVER KG
33C7          >FFFD  #  SQUARE CO
33C8          >0064 0062  #  SQUARE DB
33C9          >0067 0079  #  SQUARE GY
33CA          >0068 0061  #  SQUARE HA
33CB          >0068 0070  #  SQUARE HP
33CC          >0069 006E  #  SQUARE IN
33CD          >006B 006B  #  SQUARE KK
33CE          >006B 006D  #  SQUARE KM CAPITAL
33CF          >006B 0074  #  SQUARE KT
33D0          >006C 006D  #  SQUARE LM
33D1          >006C 006E  #  SQUARE LN
33D2          >006C 006F 0067  #  SQUARE LOG
33D3          >006C 0078  #  SQUARE LX
33D4          >006D 0062  #  SQUARE MB SMALL
33D5          >006D 0069 006C  #  SQUARE MIL
33D6          >006D 006F 006C  #  SQUARE MOL
33D7          >0070 0068  #  SQUARE PH
33D8          >FFFD  #  SQUARE PM
33D9          >0070 0070 006D  #  SQUARE PPM
33DA          >0070 0072  #  SQUARE PR
33DB          >0073 0072  #  SQUARE SR
33DC          >0073 0076  #  SQUARE SV
33DD          >0077 0062  #  SQUARE WB
33DE          >0076 2215 006D  #  SQUARE V OVER M
33DF          >0061 2215 006D  #  SQUARE A OVER M
33E0          >0031 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE
33E1          >0032 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
33E2          >0033 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
33E3          >0034 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR
33E4          >0035 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE
33E5          >0036 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX
33E6          >0037 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN
33E7          >0038 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT
33E8          >0039 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE
33E9          >0031 0030 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN
33EA          >0031 0031 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN
33EB          >0031 0032 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE
33EC          >0031 0033 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN
33ED          >0031 0034 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN
33EE          >0031 0035 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN
33EF          >0031 0036 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN
33F0          >0031 0037 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN
33F1          >0031 0038 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN
33F2          >0031 0039 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN
33F3          >0032 0030 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
33F4          >0032 0031 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
33F5          >0032 0032 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
33F6          >0032 0033 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
33F7          >0032 0034 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
33F8          >0032 0035 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
33F9          >0032 0036 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
33FA          >0032 0037 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
33FB          >0032 0038 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
33FC          >0032 0039 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
33FD          >0033 0030 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
33FE          >0033 0031 65E5  #  IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
33FF          >0067 0061 006C  #  SQUARE GAL
# 3400..4DB5  valid  #  CJK UNIFIED IDEOGRAPH-3400..CJK UNIFIED IDEOGRAPH-4DB5
4DB6..4DBF    >FFFD  #  <reserved-4DB6>..<reserved-4DBF>
# 4DC0..9FCB  valid  #  HEXAGRAM FOR THE CREATIVE HEAVEN..CJK UNIFIED IDEOGRAPH-9FCB
9FCC..9FFF    >FFFD  #  <reserved-9FCC>..<reserved-9FFF>
# A000..A48C  valid  #  YI SYLLABLE IT..YI SYLLABLE YYR
A48D..A48F    >FFFD  #  <reserved-A48D>..<reserved-A48F>
# A490..A4C6  valid  #  YI RADICAL QOT..YI RADICAL KE
A4C7..A4CF    >FFFD  #  <reserved-A4C7>..<reserved-A4CF>
# A4D0..A62B  valid  #  LISU LETTER BA..VAI SYLLABLE NDOLE DO
A62C..A63F    >FFFD  #  <reserved-A62C>..<reserved-A63F>
A640          >A641  #  CYRILLIC CAPITAL LETTER ZEMLYA
# A641        valid  #  CYRILLIC SMALL LETTER ZEMLYA
A642          >A643  #  CYRILLIC CAPITAL LETTER DZELO
# A643        valid  #  CYRILLIC SMALL LETTER DZELO
A644          >A645  #  CYRILLIC CAPITAL LETTER REVERSED DZE
# A645        valid  #  CYRILLIC SMALL LETTER REVERSED DZE
A646          >A647  #  CYRILLIC CAPITAL LETTER IOTA
# A647        valid  #  CYRILLIC SMALL LETTER IOTA
A648          >A649  #  CYRILLIC CAPITAL LETTER DJERV
# A649        valid  #  CYRILLIC SMALL LETTER DJERV
A64A          >A64B  #  CYRILLIC CAPITAL LETTER MONOGRAPH UK
# A64B        valid  #  CYRILLIC SMALL LETTER MONOGRAPH UK
A64C          >A64D  #  CYRILLIC CAPITAL LETTER BROAD OMEGA
# A64D        valid  #  CYRILLIC SMALL LETTER BROAD OMEGA
A64E          >A64F  #  CYRILLIC CAPITAL LETTER NEUTRAL YER
# A64F        valid  #  CYRILLIC SMALL LETTER NEUTRAL YER
A650          >A651  #  CYRILLIC CAPITAL LETTER YERU WITH BACK YER
# A651        valid  #  CYRILLIC SMALL LETTER YERU WITH BACK YER
A652          >A653  #  CYRILLIC CAPITAL LETTER IOTIFIED YAT
# A653        valid  #  CYRILLIC SMALL LETTER IOTIFIED YAT
A654          >A655  #  CYRILLIC CAPITAL LETTER REVERSED YU
# A655        valid  #  CYRILLIC SMALL LETTER REVERSED YU
A656          >A657  #  CYRILLIC CAPITAL LETTER IOTIFIED A
# A657        valid  #  CYRILLIC SMALL LETTER IOTIFIED A
A658          >A659  #  CYRILLIC CAPITAL LETTER CLOSED LITTLE YUS
# A659        valid  #  CYRILLIC SMALL LETTER CLOSED LITTLE YUS
A65A          >A65B  #  CYRILLIC CAPITAL LETTER BLENDED YUS
# A65B        valid  #  CYRILLIC SMALL LETTER BLENDED YUS
A65C          >A65D  #  CYRILLIC CAPITAL LETTER IOTIFIED CLOSED LITTLE YUS
# A65D        valid  #  CYRILLIC SMALL LETTER IOTIFIED CLOSED LITTLE YUS
A65E          >A65F  #  CYRILLIC CAPITAL LETTER YN
# A65F        valid  #  CYRILLIC SMALL LETTER YN
A660..A661    >FFFD  #  <reserved-A660>..<reserved-A661>
A662          >A663  #  CYRILLIC CAPITAL LETTER SOFT DE
# A663        valid  #  CYRILLIC SMALL LETTER SOFT DE
A664          >A665  #  CYRILLIC CAPITAL LETTER SOFT EL
# A665        valid  #  CYRILLIC SMALL LETTER SOFT EL
A666          >A667  #  CYRILLIC CAPITAL LETTER SOFT EM
# A667        valid  #  CYRILLIC SMALL LETTER SOFT EM
A668          >A669  #  CYRILLIC CAPITAL LETTER MONOCULAR O
# A669        valid  #  CYRILLIC SMALL LETTER MONOCULAR O
A66A          >A66B  #  CYRILLIC CAPITAL LETTER BINOCULAR O
# A66B        valid  #  CYRILLIC SMALL LETTER BINOCULAR O
A66C          >A66D  #  CYRILLIC CAPITAL LETTER DOUBLE MONOCULAR O
# A66D..A673  valid  #  CYRILLIC SMALL LETTER DOUBLE MONOCULAR O..SLAVONIC ASTERISK
A674..A67B    >FFFD  #  <reserved-A674>..<reserved-A67B>
# A67C..A67F  valid  #  COMBINING CYRILLIC KAVYKA..CYRILLIC PAYEROK
A680          >A681  #  CYRILLIC CAPITAL LETTER DWE
# A681        valid  #  CYRILLIC SMALL LETTER DWE
A682          >A683  #  CYRILLIC CAPITAL LETTER DZWE
# A683        valid  #  CYRILLIC SMALL LETTER DZWE
A684          >A685  #  CYRILLIC CAPITAL LETTER ZHWE
# A685        valid  #  CYRILLIC SMALL LETTER ZHWE
A686          >A687  #  CYRILLIC CAPITAL LETTER CCHE
# A687        valid  #  CYRILLIC SMALL LETTER CCHE
A688          >A689  #  CYRILLIC CAPITAL LETTER DZZE
# A689        valid  #  CYRILLIC SMALL LETTER DZZE
A68A          >A68B  #  CYRILLIC CAPITAL LETTER TE WITH MIDDLE HOOK
# A68B        valid  #  CYRILLIC SMALL LETTER TE WITH MIDDLE HOOK
A68C          >A68D  #  CYRILLIC CAPITAL LETTER TWE
# A68D        valid  #  CYRILLIC SMALL LETTER TWE
A68E          >A68F  #  CYRILLIC CAPITAL LETTER TSWE
# A68F        valid  #  CYRILLIC SMALL LETTER TSWE
A690          >A691  #  CYRILLIC CAPITAL LETTER TSSE
# A691        valid  #  CYRILLIC SMALL LETTER TSSE
A692          >A693  #  CYRILLIC CAPITAL LETTER TCHE
# A693        valid  #  CYRILLIC SMALL LETTER TCHE
A694          >A695  #  CYRILLIC CAPITAL LETTER HWE
# A695        valid  #  CYRILLIC SMALL LETTER HWE
A696          >A697  #  CYRILLIC CAPITAL LETTER SHWE
# A697        valid  #  CYRILLIC SMALL LETTER SHWE
A698..A69F    >FFFD  #  <reserved-A698>..<reserved-A69F>
# A6A0..A6F7  valid  #  BAMUM LETTER A..BAMUM QUESTION MARK
A6F8..A6FF    >FFFD  #  <reserved-A6F8>..<reserved-A6FF>
# A700..A721  valid  #  MODIFIER LETTER CHINESE TONE YIN PING..MODIFIER LETTER STRESS AND LOW TONE
A722          >A723  #  LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF
# A723        valid  #  LATIN SMALL LETTER EGYPTOLOGICAL ALEF
A724          >A725  #  LATIN CAPITAL LETTER EGYPTOLOGICAL AIN
# A725        valid  #  LATIN SMALL LETTER EGYPTOLOGICAL AIN
A726          >A727  #  LATIN CAPITAL LETTER HENG
# A727        valid  #  LATIN SMALL LETTER HENG
A728          >A729  #  LATIN CAPITAL LETTER TZ
# A729        valid  #  LATIN SMALL LETTER TZ
A72A          >A72B  #  LATIN CAPITAL LETTER TRESILLO
# A72B        valid  #  LATIN SMALL LETTER TRESILLO
A72C          >A72D  #  LATIN CAPITAL LETTER CUATRILLO
# A72D        valid  #  LATIN SMALL LETTER CUATRILLO
A72E          >A72F  #  LATIN CAPITAL LETTER CUATRILLO WITH COMMA
# A72F..A731  valid  #  LATIN SMALL LETTER CUATRILLO WITH COMMA..LATIN LETTER SMALL CAPITAL S
A732          >A733  #  LATIN CAPITAL LETTER AA
# A733        valid  #  LATIN SMALL LETTER AA
A734          >A735  #  LATIN CAPITAL LETTER AO
# A735        valid  #  LATIN SMALL LETTER AO
A736          >A737  #  LATIN CAPITAL LETTER AU
# A737        valid  #  LATIN SMALL LETTER AU
A738          >A739  #  LATIN CAPITAL LETTER AV
# A739        valid  #  LATIN SMALL LETTER AV
A73A          >A73B  #  LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR
# A73B        valid  #  LATIN SMALL LETTER AV WITH HORIZONTAL BAR
A73C          >A73D  #  LATIN CAPITAL LETTER AY
# A73D        valid  #  LATIN SMALL LETTER AY
A73E          >A73F  #  LATIN CAPITAL LETTER REVERSED C WITH DOT
# A73F        valid  #  LATIN SMALL LETTER REVERSED C WITH DOT
A740          >A741  #  LATIN CAPITAL LETTER K WITH STROKE
# A741        valid  #  LATIN SMALL LETTER K WITH STROKE
A742          >A743  #  LATIN CAPITAL LETTER K WITH DIAGONAL STROKE
# A743        valid  #  LATIN SMALL LETTER K WITH DIAGONAL STROKE
A744          >A745  #  LATIN CAPITAL LETTER K WITH STROKE AND DIAGONAL STROKE
# A745        valid  #  LATIN SMALL LETTER K WITH STROKE AND DIAGONAL STROKE
A746          >A747  #  LATIN CAPITAL LETTER BROKEN L
# A747        valid  #  LATIN SMALL LETTER BROKEN L
A748          >A749  #  LATIN CAPITAL LETTER L WITH HIGH STROKE
# A749        valid  #  LATIN SMALL LETTER L WITH HIGH STROKE
A74A          >A74B  #  LATIN CAPITAL LETTER O WITH LONG STROKE OVERLAY
# A74B        valid  #  LATIN SMALL LETTER O WITH LONG STROKE OVERLAY
A74C          >A74D  #  LATIN CAPITAL LETTER O WITH LOOP
# A74D        valid  #  LATIN SMALL LETTER O WITH LOOP
A74E          >A74F  #  LATIN CAPITAL LETTER OO
# A74F        valid  #  LATIN SMALL LETTER OO
A750          >A751  #  LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER
# A751        valid  #  LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER
A752          >A753  #  LATIN CAPITAL LETTER P WITH FLOURISH
# A753        valid  #  LATIN SMALL LETTER P WITH FLOURISH
A754          >A755  #  LATIN CAPITAL LETTER P WITH SQUIRREL TAIL
# A755        valid  #  LATIN SMALL LETTER P WITH SQUIRREL TAIL
A756          >A757  #  LATIN CAPITAL LETTER Q WITH STROKE THROUGH DESCENDER
# A757        valid  #  LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER
A758          >A759  #  LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE
# A759        valid  #  LATIN SMALL LETTER Q WITH DIAGONAL STROKE
A75A          >A75B  #  LATIN CAPITAL LETTER R ROTUNDA
# A75B        valid  #  LATIN SMALL LETTER R ROTUNDA
A75C          >A75D  #  LATIN CAPITAL LETTER RUM ROTUNDA
# A75D        valid  #  LATIN SMALL LETTER RUM ROTUNDA
A75E          >A75F  #  LATIN CAPITAL LETTER V WITH DIAGONAL STROKE
# A75F        valid  #  LATIN SMALL LETTER V WITH DIAGONAL STROKE
A760          >A761  #  LATIN CAPITAL LETTER VY
# A761        valid  #  LATIN SMALL LETTER VY
A762          >A763  #  LATIN CAPITAL LETTER VISIGOTHIC Z
# A763        valid  #  LATIN SMALL LETTER VISIGOTHIC Z
A764          >A765  #  LATIN CAPITAL LETTER THORN WITH STROKE
# A765        valid  #  LATIN SMALL LETTER THORN WITH STROKE
A766          >A767  #  LATIN CAPITAL LETTER THORN WITH STROKE THROUGH DESCENDER
# A767        valid  #  LATIN SMALL LETTER THORN WITH STROKE THROUGH DESCENDER
A768          >A769  #  LATIN CAPITAL LETTER VEND
# A769        valid  #  LATIN SMALL LETTER VEND
A76A          >A76B  #  LATIN CAPITAL LETTER ET
# A76B        valid  #  LATIN SMALL LETTER ET
A76C          >A76D  #  LATIN CAPITAL LETTER IS
# A76D        valid  #  LATIN SMALL LETTER IS
A76E          >A76F  #  LATIN CAPITAL LETTER CON
# A76F        valid  #  LATIN SMALL LETTER CON
A770          >A76F  #  MODIFIER LETTER US
# A771..A778  valid  #  LATIN SMALL LETTER DUM..LATIN SMALL LETTER UM
A779          >A77A  #  LATIN CAPITAL LETTER INSULAR D
# A77A        valid  #  LATIN SMALL LETTER INSULAR D
A77B          >A77C  #  LATIN CAPITAL LETTER INSULAR F
# A77C        valid  #  LATIN SMALL LETTER INSULAR F
A77D          >1D79  #  LATIN CAPITAL LETTER INSULAR G
A77E          >A77F  #  LATIN CAPITAL LETTER TURNED INSULAR G
# A77F        valid  #  LATIN SMALL LETTER TURNED INSULAR G
A780          >A781  #  LATIN CAPITAL LETTER TURNED L
# A781        valid  #  LATIN SMALL LETTER TURNED L
A782          >A783  #  LATIN CAPITAL LETTER INSULAR R
# A783        valid  #  LATIN SMALL LETTER INSULAR R
A784          >A785  #  LATIN CAPITAL LETTER INSULAR S
# A785        valid  #  LATIN SMALL LETTER INSULAR S
A786          >A787  #  LATIN CAPITAL LETTER INSULAR T
# A787..A78A  valid  #  LATIN SMALL LETTER INSULAR T..MODIFIER LETTER SHORT EQUALS SIGN
A78B          >A78C  #  LATIN CAPITAL LETTER SALTILLO
# A78C        valid  #  LATIN SMALL LETTER SALTILLO
A78D..A7FA    >FFFD  #  <reserved-A78D>..<reserved-A7FA>
# A7FB..A82B  valid  #  LATIN EPIGRAPHIC LETTER REVERSED F..SYLOTI NAGRI POETRY MARK-4
A82C..A82F    >FFFD  #  <reserved-A82C>..<reserved-A82F>
# A830..A839  valid  #  NORTH INDIC FRACTION ONE QUARTER..NORTH INDIC QUANTITY MARK
A83A..A83F    >FFFD  #  <reserved-A83A>..<reserved-A83F>
# A840..A877  valid  #  PHAGS-PA LETTER KA..PHAGS-PA MARK DOUBLE SHAD
A878..A87F    >FFFD  #  <reserved-A878>..<reserved-A87F>
# A880..A8C4  valid  #  SAURASHTRA SIGN ANUSVARA..SAURASHTRA SIGN VIRAMA
A8C5..A8CD    >FFFD  #  <reserved-A8C5>..<reserved-A8CD>
# A8CE..A8D9  valid  #  SAURASHTRA DANDA..SAURASHTRA DIGIT NINE
A8DA..A8DF    >FFFD  #  <reserved-A8DA>..<reserved-A8DF>
# A8E0..A8FB  valid  #  COMBINING DEVANAGARI DIGIT ZERO..DEVANAGARI HEADSTROKE
A8FC..A8FF    >FFFD  #  <reserved-A8FC>..<reserved-A8FF>
# A900..A953  valid  #  KAYAH LI DIGIT ZERO..REJANG VIRAMA
A954..A95E    >FFFD  #  <reserved-A954>..<reserved-A95E>
